38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2020,2020,2020,2020
ACEH,99.84,98.49,83.27,34.89
SUMATERA UTARA,99.44,97.04,78.21,29.21
SUMATERA BARAT,99.61,96.6,83.68,39.21
RIAU,99.53,95.53,77.42,30.08
JAMBI,99.82,96.41,72.37,25.53
SUMATERA SELATAN,99.71,94.61,70.91,20.06
BENGKULU,99.78,97.49,79.72,33.19
LAMPUNG,99.74,95.24,71.34,22.96
KEP. BANGKA BELITUNG,99.7,93.34,67.75,18.92
KEP. RIAU,99.55,98.82,84.62,22.47
DKI JAKARTA,99.64,98.34,72.11,26.76
JAWA BARAT,99.66,94.45,67.74,24.73
JAWA TENGAH,99.73,96.37,70.14,24.18
DI YOGYAKARTA,99.89,99.45,88.95,56.75
JAWA TIMUR,99.54,97.68,73.05,26.66
BANTEN,99.4,95.77,68.76,23.53
BALI,99.57,98.21,82.96,31.39
NUSA TENGGARA BARAT,99.52,98.32,77.64,26.68
NUSA TENGGARA TIMUR,98.57,95.25,75.52,31.47
KALIMANTAN BARAT,98.6,92.9,68.96,25.8
KALIMANTAN TENGAH,99.49,94.86,66.92,25.27
KALIMANTAN SELATAN,99.48,93.04,69.38,27.27
KALIMANTAN TIMUR,99.73,99.07,81.88,33.06
KALIMANTAN UTARA,98.94,96.52,76.08,26.17
SULAWESI UTARA,99.59,95.27,74.12,24.42
SULAWESI TENGAH,98.38,93.13,75.89,29.77
SULAWESI SELATAN,99.25,93.34,70.89,35.68
SULAWESI TENGGARA,99.1,94.98,74.5,34.02
GORONTALO,98.92,91.8,71.43,34.34
SULAWESI BARAT,98.33,90.07,69.84,24.85
MALUKU,99.5,97.43,79.87,40.54
MALUKU UTARA,99.04,97.15,76.83,32.23
PAPUA BARAT,97.89,96.87,81.51,35.18
PAPUA BARAT DAYA,-,-,-,-
PAPUA,82.99,80.48,64.83,25.51
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.26,95.74,72.72,27.41
