38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2018,2018,2018,2018
ACEH,99.86,98.49,82.92,37.61
SUMATERA UTARA,99.5,96.75,77.41,29.97
SUMATERA BARAT,99.51,96.37,83.08,38.23
RIAU,99.07,94.95,77.27,31.68
JAMBI,99.67,96.14,71.94,26.16
SUMATERA SELATAN,99.71,94.41,69.65,18.98
BENGKULU,99.87,97.36,79.33,32.34
LAMPUNG,99.86,95,70.83,24.06
KEP. BANGKA BELITUNG,99.85,92.7,67.11,18.66
KEP. RIAU,99.52,99.2,83.78,19.73
DKI JAKARTA,99.77,97.77,71.81,28.05
JAWA BARAT,99.52,94.15,67.17,25.46
JAWA TENGAH,99.76,95.79,69.02,25.54
DI YOGYAKARTA,99.9,99.72,88.39,56.81
JAWA TIMUR,99.62,97.02,72.18,25.19
BANTEN,99.39,95.79,68.35,23.78
BALI,99.56,97.92,82.35,30.02
NUSA TENGGARA BARAT,99.43,97.72,76.89,29.46
NUSA TENGGARA TIMUR,98.28,94.95,74.83,31.78
KALIMANTAN BARAT,98.43,92.84,68.35,27.91
KALIMANTAN TENGAH,99.66,93.87,66.95,28.97
KALIMANTAN SELATAN,99.64,92.43,68.66,27.71
KALIMANTAN TIMUR,99.76,98.89,81.55,35.06
KALIMANTAN UTARA,98.24,96.38,75.62,26.01
SULAWESI UTARA,99.36,95,73.67,23.62
SULAWESI TENGAH,98.24,92.74,75.05,29.95
SULAWESI SELATAN,99.25,93.13,70.81,36.8
SULAWESI TENGGARA,99.28,94.29,73.47,34.02
GORONTALO,98.76,91.38,70.75,34.64
SULAWESI BARAT,98.25,89.95,68.69,27.96
MALUKU,99.71,97.05,79.12,42.26
MALUKU UTARA,99.08,97.47,76.36,36.56
PAPUA BARAT,97.31,97.08,80.81,36.07
PAPUA BARAT DAYA,-,-,-,-
PAPUA,82.43,80,63.48,27.3
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.22,95.36,71.99,27.92
