38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2021,2021,2021,2021
ACEH,99.67,98.42,83.28,34.95
SUMATERA UTARA,99.32,96.99,78.66,29.34
SUMATERA BARAT,99.61,96.63,84.07,39.4
RIAU,99.65,95.66,77.81,30.38
JAMBI,99.66,96.39,72.5,25.63
SUMATERA SELATAN,99.65,94.85,71.53,20.41
BENGKULU,99.76,97.49,79.75,33.59
LAMPUNG,99.53,95.58,71.72,23.05
KEP. BANGKA BELITUNG,99.47,93.17,68.15,19.1
KEP. RIAU,99.62,98.85,84.4,22.69
DKI JAKARTA,99.53,98.68,72.32,26.91
JAWA BARAT,99.5,95.09,67.8,24.82
JAWA TENGAH,99.66,96.84,70.79,25.19
DI YOGYAKARTA,99.7,99.43,89.63,56.41
JAWA TIMUR,99.4,97.76,74.14,27.1
BANTEN,99.45,96.77,68.94,23.54
BALI,99.7,98.22,83.96,31.48
NUSA TENGGARA BARAT,99.52,98.34,77.49,27.22
NUSA TENGGARA TIMUR,98.42,95.32,75.77,32.41
KALIMANTAN BARAT,98.64,93.14,69.38,26.08
KALIMANTAN TENGAH,99.55,95.21,66.7,25.43
KALIMANTAN SELATAN,99.38,93.5,69.31,27.64
KALIMANTAN TIMUR,99.6,98.9,82.01,33.45
KALIMANTAN UTARA,98.67,96.51,76.5,27.5
SULAWESI UTARA,99.37,95.41,73.86,24.59
SULAWESI TENGAH,98.5,93.32,76.32,30.14
SULAWESI SELATAN,99.29,93.55,71.21,35.8
SULAWESI TENGGARA,99.16,95.06,75.02,33.64
GORONTALO,99.02,92.05,71.3,34.68
SULAWESI BARAT,98.19,90.12,71.22,25.36
MALUKU,99.52,97.65,79.68,40.97
MALUKU UTARA,98.84,97,77.01,32.21
PAPUA BARAT,98.08,96.85,81.21,34.77
PAPUA BARAT DAYA,-,-,-,-
PAPUA,83.43,80.02,63.98,25.26
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.19,95.99,73.09,27.72
