38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2018,2018,2018
ACEH,75.99,48.21,56.89
SUMATERA UTARA,73.05,47.05,60.7
SUMATERA BARAT,76.77,53.91,64
RIAU,82.98,59.08,68.73
JAMBI,76.15,56.19,62.43
SUMATERA SELATAN,77.05,49.56,59.41
BENGKULU,79.94,48.36,58.49
LAMPUNG,76.2,54.3,60.41
KEP. BANGKA BELITUNG,74.83,55.42,65.78
KEP. RIAU,81.98,56.29,78.41
DKI JAKARTA,89.04,-,89.04
JAWA BARAT,77.53,52.28,70.61
JAWA TENGAH,74.39,58.85,66.73
DI YOGYAKARTA,85.11,62.3,79.1
JAWA TIMUR,74.7,54.5,65.01
BANTEN,84.08,53.53,75.39
BALI,81.9,58.41,74.15
NUSA TENGGARA BARAT,61.83,45.48,53.03
NUSA TENGGARA TIMUR,78.2,31.06,42.21
KALIMANTAN BARAT,80.56,42.49,54.99
KALIMANTAN TENGAH,76.64,50.44,60.31
KALIMANTAN SELATAN,79.95,55.16,66.67
KALIMANTAN TIMUR,85.34,66.16,78.98
KALIMANTAN UTARA,82.79,65.33,75.71
SULAWESI UTARA,78.92,56.21,67.6
SULAWESI TENGAH,76.97,44.09,53.42
SULAWESI SELATAN,80.67,54.77,65.22
SULAWESI TENGGARA,80.32,50.64,61.95
GORONTALO,74.87,56.55,63.76
SULAWESI BARAT,70.56,44.33,50.44
MALUKU,79.5,36.67,55.16
MALUKU UTARA,80.78,35.66,49.06
PAPUA BARAT,79.22,50.45,61.95
PAPUA BARAT DAYA,-,-,-
PAPUA,72.36,14.69,29.5
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,78.08,51.9,66.22
