38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,3.6,2.86,3.18
SUMATERA UTARA,3.73,3.52,3.65
SUMATERA BARAT,4.09,3.42,3.8
RIAU,4.23,3.99,4.1
JAMBI,4.22,3.6,3.85
SUMATERA SELATAN,3.93,3.43,3.65
BENGKULU,4.4,3.25,3.75
LAMPUNG,4.02,3.5,3.72
KEP. BANGKA BELITUNG,3.73,3.26,3.56
KEP. RIAU,4.14,4.3,4.15
DKI JAKARTA,3.43,-,3.43
JAWA BARAT,3.69,3.1,3.6
JAWA TENGAH,3.79,3.57,3.7
DI YOGYAKARTA,4.02,3.45,3.93
JAWA TIMUR,3.86,3.29,3.66
BANTEN,3.82,2.96,3.66
BALI,4,3.77,3.95
NUSA TENGGARA BARAT,3.42,3.04,3.26
NUSA TENGGARA TIMUR,4.9,3.1,3.81
KALIMANTAN BARAT,4.44,3.74,4.07
KALIMANTAN TENGAH,4.83,4.24,4.52
KALIMANTAN SELATAN,4.28,3.67,4.02
KALIMANTAN TIMUR,4.86,4.72,4.82
KALIMANTAN UTARA,5.37,4.54,5.11
SULAWESI UTARA,4.21,3.49,3.93
SULAWESI TENGAH,4.88,3.99,4.35
SULAWESI SELATAN,4.25,3.67,4
SULAWESI TENGGARA,4.33,3.85,4.07
GORONTALO,4.5,4.06,4.3
SULAWESI BARAT,4.56,3.57,3.83
MALUKU,5.54,4.47,5.1
MALUKU UTARA,5.23,4.09,4.55
PAPUA BARAT,5.88,4.62,5.29
PAPUA BARAT DAYA,-,-,-
PAPUA,5.14,3.55,4.42
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.88,3.49,3.76
