38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,3.56,2.9,3.18
SUMATERA UTARA,3.65,3.49,3.59
SUMATERA BARAT,3.92,3.34,3.67
RIAU,3.87,4.03,3.95
JAMBI,4.28,3.41,3.76
SUMATERA SELATAN,3.92,3.15,3.5
BENGKULU,4.31,3.23,3.68
LAMPUNG,3.76,3.25,3.46
KEP. BANGKA BELITUNG,3.89,3.47,3.73
KEP. RIAU,4.25,3.98,4.23
DKI JAKARTA,3.62,0,3.62
JAWA BARAT,3.67,3.05,3.58
JAWA TENGAH,3.7,3.35,3.56
DI YOGYAKARTA,3.88,3.68,3.85
JAWA TIMUR,3.76,3.11,3.52
BANTEN,3.7,2.68,3.53
BALI,4.04,3.59,3.95
NUSA TENGGARA BARAT,2.72,2.41,2.58
NUSA TENGGARA TIMUR,4.66,3.26,3.79
KALIMANTAN BARAT,4.4,3.53,3.95
KALIMANTAN TENGAH,4.97,4.31,4.61
KALIMANTAN SELATAN,4.09,3.63,3.9
KALIMANTAN TIMUR,4.79,4.36,4.68
KALIMANTAN UTARA,5.15,4.48,4.93
SULAWESI UTARA,4.15,3.16,3.76
SULAWESI TENGAH,4.54,3.51,3.92
SULAWESI SELATAN,4.11,3.52,3.85
SULAWESI TENGGARA,4.57,3.6,4.05
GORONTALO,4.66,3.07,3.96
SULAWESI BARAT,4.62,3.42,3.76
MALUKU,5.63,4.26,5.01
MALUKU UTARA,5.03,3.78,4.25
PAPUA BARAT,5.51,4.21,4.84
PAPUA BARAT DAYA,-,-,-
PAPUA,5.1,3.09,4.23
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.83,3.33,3.67
