38 Provinsi,,,
,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2019,2019,2019
ACEH,3.34,2.67,2.96
SUMATERA UTARA,3.19,2.88,3.07
SUMATERA BARAT,3.52,2.84,3.22
RIAU,3.73,3.28,3.5
JAMBI,3.56,3.2,3.35
SUMATERA SELATAN,3.64,2.9,3.24
BENGKULU,4.08,2.81,3.37
LAMPUNG,3.54,3.02,3.23
KEP. BANGKA BELITUNG,3.64,3.26,3.5
KEP. RIAU,3.9,3.55,3.88
DKI JAKARTA,3.07,-,3.07
JAWA BARAT,3.2,2.73,3.12
JAWA TENGAH,3.23,2.86,3.08
DI YOGYAKARTA,3.35,2.44,3.2
JAWA TIMUR,3.39,2.68,3.14
BANTEN,3.43,2.64,3.29
BALI,3.8,3.48,3.73
NUSA TENGGARA BARAT,3.15,2.6,2.9
NUSA TENGGARA TIMUR,4.02,2.38,3.02
KALIMANTAN BARAT,4.08,3.1,3.56
KALIMANTAN TENGAH,4.6,3.76,4.15
KALIMANTAN SELATAN,3.63,3.18,3.44
KALIMANTAN TIMUR,4.22,4.12,4.19
KALIMANTAN UTARA,4.78,4.22,4.59
SULAWESI UTARA,3.89,3.19,3.61
SULAWESI TENGAH,4.67,3.12,3.77
SULAWESI SELATAN,3.94,3.4,3.7
SULAWESI TENGGARA,4.26,3.61,3.94
GORONTALO,4.15,3.66,3.93
SULAWESI BARAT,3.18,3.03,3.08
MALUKU,5.13,4.09,4.7
MALUKU UTARA,5.3,3.41,4.25
PAPUA BARAT,5.03,4.55,4.8
PAPUA BARAT DAYA,-,-,-
PAPUA,4.73,4.01,4.42
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3.43,2.98,3.28
