Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2021
ACEH,9572
Simeulue,7148
Aceh Singkil,8776
Aceh Selatan,8180
Aceh Tenggara,8030
Aceh Timur,8577
Aceh Tengah,10780
Aceh Barat,9593
Aceh Besar,9644
Pidie,9860
Bireuen,8867
Aceh Utara,8201
Aceh Barat Daya,8428
Gayo Lues,8856
Aceh Tamiang,8367
Nagan Raya,8292
Aceh Jaya,9666
Bener Meriah,11118
Pidie Jaya,10290
Kota Banda Aceh,16891
Kota Sabang,11378
Kota Langsa,12067
Kota Lhokseumawe,11390
Kota Subulussalam,7385
SUMATERA UTARA,10499
Nias,6995
Mandailing Natal,9771
Tapanuli Selatan,11304
Tapanuli Tengah,10138
Tapanuli Utara,11710
Toba Samosir / Toba,12224
Labuhan Batu,11212
Asahan,11030
Simalungun,11376
Dairi,10504
Karo,12412
Deli Serdang,12291
Langkat,11142
Nias Selatan,7041
Humbang Hasundutan,8016
Pakpak Bharat,8254
Samosir,8504
Serdang Bedagai,11017
Batu Bara,10539
Padang Lawas Utara,10055
Padang Lawas,8921
Labuhan Batu Selatan,11562
Labuhan Batu Utara,11840
Nias Utara,6155
Nias Barat,5924
Kota Sibolga,11540
Kota Tanjung Balai,11225
Kota Pematang Siantar,12436
Kota Tebing Tinggi,12939
Kota Medan,14999
Kota Binjai,11063
Kota Padangsidimpuan,10965
Kota Gunungsitoli,8134
SUMATERA BARAT,10790
Kepulauan Mentawai,6321
Pesisir Selatan,9270
Solok,10215
Sijunjung,10389
Tanah Datar,10616
Padang Pariaman,11050
Agam,9662
Lima Puluh Kota,9668
Pasaman,8440
Solok Selatan,10367
Dharmasraya,11324
Pasaman Barat,9089
Kota Padang,14540
Kota Solok,12168
Kota Sawah Lunto,10195
Kota Padang Panjang,10754
Kota Bukittinggi,13331
Kota Payakumbuh,13317
Kota Pariaman,12818
RIAU,10736
Kuantan Singingi,10309
Indragiri Hulu,10260
Indragiri Hilir,9945
Pelalawan,11672
Siak,11807
Kampar,10858
Rokan Hulu,9406
Bengkalis,11415
Rokan Hilir,9417
Kepulauan Meranti,7780
Kota Pekanbaru,14360
Kota Dumai,11818
JAMBI,10588
