Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2019
ACEH,9603
Simeulue,7210
Aceh Singkil,8715
Aceh Selatan,8187
Aceh Tenggara,8067
Aceh Timur,8600
Aceh Tengah,10782
Aceh Barat,9692
Aceh Besar,9661
Pidie,9824
Bireuen,8889
Aceh Utara,8189
Aceh Barat Daya,8491
Gayo Lues,8845
Aceh Tamiang,8362
Nagan Raya,8348
Aceh Jaya,9682
Bener Meriah,11124
Pidie Jaya,10364
Kota Banda Aceh,16892
Kota Sabang,11444
Kota Langsa,12099
Kota Lhokseumawe,11421
Kota Subulussalam,7463
SUMATERA UTARA,10649
Nias,7042
Mandailing Natal,9900
Tapanuli Selatan,11410
Tapanuli Tengah,10175
Tapanuli Utara,11791
Toba Samosir / Toba,12375
Labuhan Batu,11193
Asahan,10983
Simalungun,11422
Dairi,10602
Karo,12474
Deli Serdang,12317
Langkat,11208
Nias Selatan,7105
Humbang Hasundutan,7902
Pakpak Bharat,8402
Samosir,8654
Serdang Bedagai,11061
Batu Bara,10575
Padang Lawas Utara,10194
Padang Lawas,9100
Labuhan Batu Selatan,11553
Labuhan Batu Utara,11957
Nias Utara,6245
Nias Barat,6009
Kota Sibolga,11656
Kota Tanjung Balai,11383
Kota Pematang Siantar,12571
Kota Tebing Tinggi,12895
Kota Medan,15033
Kota Binjai,11260
Kota Padangsidimpuan,11181
Kota Gunungsitoli,8058
SUMATERA BARAT,10925
Kepulauan Mentawai,6429
Pesisir Selatan,9444
Solok,10309
Sijunjung,10395
Tanah Datar,10709
Padang Pariaman,11158
Agam,9780
Lima Puluh Kota,9842
Pasaman,8599
Solok Selatan,10505
Dharmasraya,11431
Pasaman Barat,9180
Kota Padang,14728
Kota Solok,12337
Kota Sawah Lunto,10238
Kota Padang Panjang,11013
Kota Bukittinggi,13586
Kota Payakumbuh,13464
Kota Pariaman,12958
RIAU,11255
Kuantan Singingi,10820
Indragiri Hulu,10738
Indragiri Hilir,10382
Pelalawan,12149
Siak,12347
Kampar,11232
Rokan Hulu,9979
Bengkalis,11753
Rokan Hilir,9672
Kepulauan Meranti,8358
Kota Pekanbaru,15206
Kota Dumai,12453
JAMBI,10592
